Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating,genre_count,modes_count,has_Action,has_Adventure,has_Shooter,has_Rpg,has_Survival,has_multiplayer,has_coop,is_first_person,is_third_person,is_isometric,is_vr,is_side_view,franchise_avg_critic,franchise_avg_user,is_first_franchise_game,studio_avg_critic,studio_avg_user,has_new_studio
The Elder Scrolls: Arena,bethesda softworks,"rpg,action,fantasy,sandbox",single player,No,No,Yes,First Person,PC,1,26.5,45.5,62.0,120000.0,1,1,$49.99,$1.89,$1.10,$0.81,1994-03-25,25,3,1994,The Elder Scrolls,0.0002208333333,7.0,6.83,4,1,1,0,0,1,0,0,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Resident Evil,capcom planning room 2,"adventure,action,horror,survival",single player,No,No,No,Third Person,"PC, Playstation",2,7.0,8.5,15.0,,0,1,$49.99,$7.14,$5.88,$3.33,1996-03-22,22,3,1996,Resident Evil,,8.9,8.6,4,1,1,1,0,0,1,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
The Elder Scrolls II: Daggerfall,bethesda game studios,"rpg,adventure,action,fantasy,historical,sandbox",single player,Yes,Yes,Yes,"First Person, Third Person",DOS,1,31.0,74.5,269.0,161000.0,1,1,$49.99,$1.61,$0.67,$0.19,1996-08-31,31,8,1996,The Elder Scrolls,0.0001925465839,8.25,8.15,6,1,1,1,0,1,0,0,0,1,1,0,0,0,7.0,6.83,0,7.699408284023669,7.367455621301775,0
Postal,running with scissors,"shooter,indie,action","single player,multiplayer",No,No,No,Bird view/Isometric,"Linux, Mac, PC",3,2.5,3.5,13.5,,0,1,$49.99,$20.00,$14.28,$3.70,1997-09-24,24,9,1997,Postal,,2.8,7.2,3,2,1,0,1,0,0,1,0,0,0,1,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Fallout: A Post Nuclear Role Playing Game,"interplay entertainment,black isle studios","rpg,science fiction,survival,stealth",single player,Limited,No,No,Bird view/Isometric,"DOS, Linux, Mac, OnLive Game System, PC",5,16.0,23.0,32.5,,0,1,$49.99,$3.12,$2.17,$1.54,1997-10-10,10,10,1997,Fallout,,9.2,9.05,4,1,0,0,0,1,1,0,0,0,0,1,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
An Elder Scrolls Legend: Battlespire,bethesda softworks,"rpg,action,fantasy","single player,multiplayer",No,Yes,No,First Person,DOS,1,15.5,25.5,37.0,,0,1,$49.99,$3.23,$1.96,$1.35,1997-11-30,30,11,1997,The Elder Scrolls,,5.7,6.0,3,2,1,0,0,1,0,1,0,1,0,0,0,0,7.625,7.49,0,7.0,6.83,0
Resident Evil 2,capcom planning room 2,"shooter,adventure,action,horror,survival",single player,No,Yes,No,Third Person,"Dreamcast, Nintendo GameCube, PC, Playstation, Playstation, Playstation Portable",6,6.0,9.5,15.5,,0,1,$49.99,$8.33,$5.26,$3.23,1998-01-21,21,1,1998,Resident Evil,,7.6,8.8,5,1,1,1,1,0,1,0,0,0,1,0,0,0,8.9,8.6,0,8.9,8.6,0
Fallout 2,black isle studios,"puzzle,rpg,science fiction,survival,stealth,comedy",single player,Limited,Yes,No,Bird view/Isometric,"Mac, PC",2,30.5,47.5,82.5,,0,0,$49.99,$1.64,$1.05,$0.61,1998-10-29,29,10,1998,Fallout,,8.75,9.1,6,1,0,0,0,1,1,0,0,0,0,1,0,0,9.2,9.05,0,9.2,9.05,0
The Elder Scrolls Adventures: Redguard,bethesda softworks,"rpg,adventure,action,fantasy,historical",single player,No,Yes,No,Third Person,"DOS, PC",2,17.0,17.0,17.0,,0,1,$49.99,$2.94,$2.94,$2.94,1998-10-31,31,10,1998,The Elder Scrolls,,6.5,6.5,5,1,1,1,0,1,0,0,0,0,1,0,0,0,6.983333333333333,6.993333333333333,0,6.35,6.415,0
Silent Hill,team silent,"puzzle,adventure,action,horror,survival",single player,Limited,No,No,Third Person,"Playstation, Playstation 3/Portable",3,7.0,8.0,14.5,,0,1,$49.99,$7.14,$6.25,$3.45,1999-02-24,24,2,1999,Silent Hill,,8.8,8.83,5,1,1,1,0,0,1,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Resident Evil 3: Nemesis,capcom planning room 2,"shooter,adventure,action,horror,survival,puzz",single player,Limited,Yes,No,Third Person,"Dreamcast, Nintendo GameCube, PC, Playstation, Playstation, Playstation Portable",6,7.0,8.0,13.0,,0,0,$49.99,$7.14,$6.25,$3.85,1999-09-22,22,9,1999,Resident Evil,,8.55,8.63,6,1,1,1,1,0,1,0,0,0,1,0,0,0,8.25,8.7,0,8.25,8.7,0
Resident Evil Code: Veronica,nextech,"shooter,adventure,action,horror,survival,puzz","single player,multiplayer",No,Yes,No,Third Person,Dreamcast,1,11.5,14.0,17.5,,0,0,$49.99,$4.35,$3.57,$2.86,2000-02-03,3,2,2000,Resident Evil,,4.7,8.08,6,2,1,1,1,0,1,1,0,0,1,0,0,0,8.35,8.676666666666668,0,7.699408284023669,7.367455621301775,0
Fallout Tactics: Brotherhood of Steel,micro forté,"rpg,strategy,tactical,tbs,action,science fiction,stealth","single player,multiplayer",Limited,Yes,No,Bird view/Isometric,"Mac, PC",2,25.5,45.5,49.5,,0,0,$49.99,$1.96,$1.10,$1.01,2001-03-15,15,3,2001,Fallout,,8.25,7.18,7,2,1,0,0,1,0,1,0,0,0,1,0,0,8.975,9.075,0,7.699408284023669,7.367455621301775,0
Max Payne,remedy entertainment,"shooter,action,thriller",single player,Yes,No,No,Third Person,"Android, iOS, Mac, PC, Playstation 2/3/4, Xbox/360/One",10,8.0,9.0,11.5,,0,1,$49.99,$6.25,$5.55,$4.35,2001-07-23,23,7,2001,Max Payne,,9.1,8.93,3,1,1,0,1,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Silent Hill 2,team silent,"puzzle,adventure,drama,horror,survival,mystery",single player,Yes,Yes,No,Third Person,Playstation 2,1,16.0,18.5,32.0,,0,1,$49.99,$3.12,$2.70,$1.56,2001-09-24,24,9,2001,Silent Hill,,8.8,9.4,6,1,0,1,0,0,1,0,0,0,1,0,0,0,8.8,8.83,0,8.8,8.83,0
Grand Theft Auto III,"dma design,transgaming inc.","shooter,arcade,action",single player,Limited,Yes,Yes,Third Person,"Android, iOS, Mac, PC, Playstation 2, Xbox",6,14.0,20.5,36.5,8.12,1,1,$49.95,$3.57,$2.44,$1.37,2001-10-22,22,10,2001,Grand Theft Auto ,1.724137931,9.65,7.78,3,1,1,0,1,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Tom Clancy's Ghost Recon,red storm entertainment,"shooter,simulator,strategy,tactical,adventure,action,warfare","single player,multiplayer,co-operative",Yes,Yes,No,First Person,"Mac, Nintendo GameCube, PC, Playstation 2, Xbox",5,10.0,12.5,13.5,,0,1,$49.99,$5.00,$4.00,$3.70,2001-11-13,13,11,2001,Ghost Recon,,8.85,7.83,7,3,1,1,1,0,0,1,1,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
E.T. The Extra Terrestrial,newkidco,"adventure,science fiction",single player,No,No,No,Bird view/Isometric,Game Boy Advance,1,2.5,2.5,2.5,,0,1,$34.95,$13.98,$13.98,$13.98,2001-12-14,14,12,2001,,,4.05,2.58,2,1,0,1,0,0,0,0,0,0,0,1,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
The Elder Scrolls III: Morrowind,bethesda game studios,"rpg,adventure,action,fantasy,sandbox",single player,Yes,Yes,Yes,"First Person, Third Person","PC, Xbox",2,44.0,104.0,295.0,24.0,1,1,$49.99,$1.14,$0.48,$0.17,2002-05-01,1,5,2002,The Elder Scrolls,1.833333333,9.05,8.9,5,1,1,1,0,1,0,0,0,1,1,0,0,0,6.8625,6.87,0,8.25,8.15,0
Mafia,illusion softworks,"fighting,shooter,adventure,action,stealth,racing",single player,Yes,No,Yes,Third Person,"PC, Playstation 2, Xbox",3,16.0,18.5,21.0,16.0,1,1,$49.99,$3.12,$2.70,$2.38,2002-08-29,29,8,2002,Mafia,1.0,7.9,8.58,6,1,1,1,1,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Grand Theft Auto Vice City,rockstar north,"shooter,arcade,action",single player,Yes,Yes,Yes,Third Person,"PC, Playstation 2, Xbox",3,17.0,24.5,38.0,9.11,1,1,$4.81,$0.28,$0.20,$0.13,2002-10-27,27,10,2002,Grand Theft Auto ,1.866081229,9.6,8.88,3,1,1,0,1,0,0,0,0,0,1,0,0,0,9.65,7.78,0,7.699408284023669,7.367455621301775,0
Devil May Cry 2,capcom production studio 1,"hack and slash/beat 'em up,adventure,horror,action",single player,No,Yes,No,Third Person,Playstation 2,1,5.0,7.0,18.5,,0,0,$49.99,$10.00,$7.14,$2.70,2003-01-25,25,1,2003,Devil May Cry,,6.9,5.65,4,1,1,1,0,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Postal 2,running with scissors,"shooter,indie,action,adventure,comedy",single player,No,Yes,Yes,First Person,"Linux, Mac, PC",3,7.0,12.5,32.0,104.0,1,1,$49.99,$7.14,$4.00,$1.56,2003-04-14,14,4,2003,Postal,0.06730769231,5.25,8.25,5,1,1,1,1,0,0,0,0,1,0,0,0,0,2.8,7.2,0,2.8,7.2,0
Silent Hill 3,team silent,"puzzle,adventure,action,horror,survival,science fiction,mystery,stealth",single player,Yes,Yes,No,Third Person,"PC, Playstation 2",2,6.0,8.0,11.5,,0,0,$49.99,$8.33,$6.25,$4.35,2003-05-23,23,5,2003,Silent Hill,,8.65,8.68,8,1,1,1,0,0,1,0,0,0,1,0,0,0,8.8,9.115,0,8.8,9.115,0
Max Payne 2: The Fall of Max Payne,remedy entertainment,"shooter,action,thriller",single player,Yes,Yes,No,Third Person,"PC, Playstation 2/3, Xbox/360",5,6.0,7.5,9.5,,0,0,$49.99,$8.33,$6.67,$5.26,2003-10-14,14,10,2003,Max Payne,,9.0,8.88,3,1,1,0,1,0,0,0,0,0,1,0,0,0,9.1,8.93,0,9.1,8.93,0
Call of Duty,infinity ward,"shooter,action,historical,warfare","single player,multiplayer",Limited,No,No,First Person,"Mac, PC",2,7.0,9.0,10.0,,0,1,$49.99,$7.14,$5.55,$5.00,2003-10-29,29,10,2003,Call of Duty,,9.2,8.45,4,2,1,0,1,0,0,1,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Fallout: Brotherhood of Steel,interplay,"rpg,action,science fiction,comedy,hack and slash/beat 'em up",single player,Limited,Yes,No,Bird view/Isometric,"Playstation 2, Xbox",2,10.0,13.0,17.5,,0,0,$49.99,$5.00,$3.85,$2.86,2004-01-13,13,1,2004,Fallout,,7.05,5.7,5,1,1,0,0,1,0,0,0,0,0,1,0,0,8.733333333333333,8.443333333333333,0,7.699408284023669,7.367455621301775,0
Far Cry,"crytek frankfurt,crytek","shooter,action,science fiction","single player,multiplayer",Yes,No,Yes,First Person,PC,1,13.0,16.0,19.5,,0,1,$49.99,$3.85,$3.12,$2.56,2004-03-23,23,3,2004,Far Cry,,9.05,7.58,3,2,1,0,1,0,0,1,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Silent Hill 4: The Room,team silent,"adventure,action,horror,survival",single player,Yes,Yes,No,Third Person,"PC, Playstaion 2/3, Xbox",4,9.0,10.0,12.5,,0,1,$49.99,$5.55,$5.00,$4.00,2004-06-17,17,6,2004,Silent Hill,,7.25,7.65,4,1,1,1,0,0,1,0,0,0,1,0,0,0,8.75,8.97,0,8.75,8.97,0
Driv3r,reflections interactive,"shooter,racing,action,sandbox",single player,No,Yes,Yes,"First Person, Third Person","PC, Playstation 2, Xbox",3,10.0,13.5,14.0,20.0,1,0,$49.99,$5.00,$3.70,$3.57,2004-06-21,21,6,2004,Driver,0.5,5.5,5.6,4,1,1,0,1,0,0,0,0,1,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Grand Theft Auto San Andreas,rockstar games,"shooter,racing,action","single player,multiplayer,co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 2/3/4, Xbox/360",6,30.0,45.0,72.5,38.2,1,1,$49.99,$1.67,$1.11,$0.69,2004-10-26,26,10,2004,Grand Theft Auto ,0.7853403141,9.55,9.13,3,3,1,0,1,0,0,1,1,0,1,0,0,0,9.625,8.33,0,7.699408284023669,7.367455621301775,0
Resident Evil 4,capcom production studio 4,"shooter,adventure,action,horror,survival",single player,Limited,Yes,No,Third Person,Nintendo GameCube,1,15.5,19.5,31.5,,0,1,$49.99,$3.23,$2.56,$1.59,2005-01-11,11,1,2005,Resident Evil,,9.65,9.23,5,1,1,1,1,0,1,0,0,0,1,0,0,0,7.4375,8.5275,0,7.699408284023669,7.367455621301775,0
God of War(2005),sce santa monica studio,"puzzle,hack and slash/beat 'em up,adventure,action,fantasy,historical",single player,No,No,No,Third Person,Playstation 2,1,9.0,10.0,13.0,,0,1,$49.99,$5.55,$5.00,$3.85,2005-03-22,22,3,2005,God of War,,9.6,8.8,6,1,1,1,0,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Call of Duty 2,infinity ward,"shooter,action,historical,warfare","single player,multiplayer",Limited,Yes,No,First Person,"Mac, PC, Xbox 360",3,8.0,9.6,11.0,,0,1,$59.99,$7.50,$6.25,$5.45,2005-10-25,25,10,2005,Call of Duty,,8.95,8.5,4,2,1,0,1,0,0,1,0,1,0,0,0,0,9.2,8.45,0,9.2,8.45,0
Tom Clancy's Ghost Recon Advanced Warfighter,"darkworks,ubisoft paris,ubisoft shanghai,grin","shooter,simulator,strategy,tactical,action,warfare","single player,multiplayer",Limited,Yes,No,Third Person,"PC, Playstation 2, Xbox, Xbox 360",4,14.5,16.5,20.5,,0,1,$49.99,$3.45,$3.03,$2.44,2006-03-09,9,3,2006,Ghost Recon,,9.1,7.63,6,2,1,0,1,0,0,1,0,0,1,0,0,0,8.85,7.83,0,7.699408284023669,7.367455621301775,0
The Elder Scrolls IV: Oblivion,bethesda game studios,"rpg,adventure,action,fantasy,historical,sandbox",single player,Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 3, Xbox 360",3,27.5,85.0,184.0,41.0,1,1,$59.99,$2.18,$0.71,$0.33,2006-03-20,20,3,2006,The Elder Scrolls,0.6707317073,9.2,8.98,6,1,1,1,0,1,0,0,0,1,1,0,0,0,7.3,7.276000000000001,0,8.65,8.525,0
Call of Duty 3,"treyarch,exact entertainment","shooter,action,historical,warfare","single player,multiplayer",Limited,Yes,No,First Person,"Playstation 2/3, Wii, Xbox/360",5,8.0,10.0,11.0,,0,0,$59.99,$7.50,$6.00,$5.45,2006-11-07,7,11,2006,Call of Duty,,8.5,7.23,4,2,1,0,1,0,0,1,0,1,0,0,0,0,9.075,8.475,0,7.699408284023669,7.367455621301775,0
Sonic the Hedgehog,sonic team,"adventure,action,scienve fiction,educational","single player,multiplayer",No,No,No,Third Person,"Playstation 3, Xbox 360",2,16.0,19.5,25.0,,0,1,$59.99,$3.75,$3.08,$2.40,2006-11-14,14,11,2006,Sonic the Hedgehog,,4.7,4.08,4,2,1,1,0,0,0,1,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Crackdown,realtime worlds,"fighting,shooter,rpg,adventure,action,science fiction,sandbox","single player,co-operative",No,No,Yes,Thrid Person,Xbox 360,1,11.0,17.0,45.0,16.0,1,1,$59.99,$5.45,$3.53,$1.33,2007-02-20,20,2,2007,Crackdown,0.6875,8.15,7.4,7,2,1,1,1,1,0,0,1,0,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,"grin,red storm entertainment,ubisoft paris,high voltage software","shooter,simulator,strategy,tactical,action,warfare","single player,multiplayer",Limited,Yes,No,"First Person, Third Person","PC, Playstation 3/Portable, Xbox 360",4,9.0,10.0,21.5,,0,0,$49.99,$5.55,$5.00,$2.33,2007-03-06,6,3,2007,Ghost Recon,,8.45,7.23,6,2,1,0,1,0,0,1,0,1,1,0,0,0,8.975,7.73,0,9.016666666666666,7.696666666666666,0
S.T.A.L.K.E.R.: Shadow of Chernobyl,gsc game world,"shooter,rpg,adventure,action,horror,survival,stealth,science fiction,sandbox","single player,multiplayer",Yes,No,Yes,First Person,"Nintendo Switch, PC, Playstation 4, Xbox One",4,15.0,24.5,42.0,30.0,1,1,$49.99,$3.33,$2.04,$1.19,2007-03-23,23,3,2007,S.T.A.L.K.E.R.,0.5,8.2,7.7,9,2,1,1,1,1,1,1,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Call of Duty 4: Modern Warfare,infinity ward,"shooter,simulator,action,stealth,warfare","single player,multiplayer,co-operative,splitscreen",No,Yes,No,First Person,"Mac, PC, Playstation 3, Xbox 360",4,7.0,9.5,16.5,8.75,1,1,$19.99,$2.86,$2.10,$1.21,2007-11-05,5,11,2007,Call of Duty,0.8,9.4,8.73,5,4,1,0,1,0,0,1,1,1,0,0,0,0,8.883333333333333,8.06,0,9.075,8.475,0
Silent Hill: Origins,climax la,"puzzle,adventure,horror,survival",single player,Limited,Yes,No,Third Person,Playstation 2/Portable,2,6.0,7.0,8.0,,0,0,$39.99,$6.67,$5.71,$5.00,2007-11-06,6,11,2007,Silent Hill,,7.9,7.3,4,1,0,1,0,0,1,0,0,0,1,0,0,0,8.375,8.64,0,7.699408284023669,7.367455621301775,0
Mass Effect,"bioware,bioware edmonton","shooter,rpg,action,science fictiion,romance",single player,Yes,No,No,Third Person,"PC, Playstation 3, Xbox 360",3,17.0,27.5,42.5,,0,1,$59.99,$3.53,$2.18,$1.41,2007-11-20,20,11,2007,Mass Effect,,9.25,8.8,5,1,1,0,1,1,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Grand Theft Auto IV,rockstar north,"shooter,arcade,action","single player,multiplayer",Yes,Yes,Yes,Third Person,"PC, Playstation 3, Xbox 360",3,27.0,40.5,74.0,16.14,1,1,$19.99,$0.74,$0.49,$0.27,2008-04-29,29,4,2008,Grand Theft Auto ,1.672862454,9.9,8.63,3,2,1,0,1,0,0,1,0,0,1,0,0,0,9.6,8.596666666666668,0,9.6,8.88,0
Alone in the Dark,eden games,"shooter,puzzle,adventure,action,horror,survival,mystery",single player,No,No,Semi,"First Person, Third Person","PC, Xbox 360",2,9.0,12.5,15.5,,0,1,$59.99,$6.67,$4.80,$3.87,2008-06-20,20,6,2008,Alone in the Dark,,2.9,5.5,7,1,1,1,1,0,1,0,0,1,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
S.T.A.L.K.E.R.: Clear Sky,gsc game world,"shooter,rpg,adventure,action,horror,survival,stealth","single player,multiplayer",Yes,Yes,Yes,First Person,"Nintendo Switch, PC",2,13.0,22.5,35.5,30.0,1,0,$49.99,$3.85,$2.22,$1.41,2008-08-22,22,8,2008,S.T.A.L.K.E.R.,0.4333333333,7.4,7.28,7,2,1,1,1,1,1,1,0,1,0,0,0,0,8.2,7.7,0,8.2,7.7,0
Silent Hill: Homecoming ,double helix games,"puzzle,adventure,horror,survival",single player,Limited,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,9.5,11.5,18.5,,0,0,$59.99,$6.31,$5.22,$3.24,2008-09-30,30,9,2008,Silent Hill,,7.0,6.5,4,1,0,1,0,0,1,0,0,0,1,0,0,0,8.280000000000001,8.372,0,7.699408284023669,7.367455621301775,0
Far Cry 2,unisoft montreal,"shooter,adventure,action,sandbox,stealth","single player,multiplayer",Limited,Yes,Yes,First Person,"PC, Playstation 3, Xbox 360",3,17.0,26.0,41.0,50.0,1,1,$49.99,$2.94,$1.92,$1.22,2008-10-21,21,10,2008,Far Cry,0.34,8.7,6.93,5,2,1,1,1,0,0,1,0,1,0,0,0,0,9.05,7.58,0,7.699408284023669,7.367455621301775,0
Fallout 3,bethesda game studios,"shooter,rpg,acrtion,science fiction,survival,stealth,sandbox",single player,Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 3, Xbox 360",3,22.0,52.5,114.0,39.0,1,1,$59.99,$2.73,$1.14,$0.53,2008-10-28,28,10,2008,Fallout,0.5641025641,9.05,8.13,7,1,0,0,1,1,1,0,0,1,1,0,0,0,8.3125,7.7575,0,8.833333333333334,8.676666666666668,0
Call of Duty: World at War,treyarch,"shooter,action,historical,warfare,horror,survival,stealth,adventure","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"PC, Playstaion 3, Xbox 360",3,7.0,11.0,25.5,,0,1,$59.99,$8.57,$5.45,$2.35,2008-11-11,11,11,2008,Call of Duty,,8.8,8.18,8,4,1,1,1,0,1,1,1,1,0,0,0,0,9.0125,8.2275,0,8.5,7.23,0
Resident Evil 5,capcom,"shooter,adventure,action,horror,survival","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,12.0,17.0,35.5,,0,0,$59.99,$5.00,$3.53,$1.69,2009-03-05,5,3,2009,Resident Evil,,8.8,7.85,5,4,1,1,1,0,1,1,1,0,1,0,0,0,7.880000000000001,8.668000000000001,0,7.699408284023669,7.367455621301775,0
S.T.A.L.K.E.R.: Call of Pripyat,gsc game world,"shooter,rpg,adventure,action,horror,survival,stealth,science fiction,sandbox","single player,multiplayer",Yes,Yes,Yes,First Person,"Nintendo Switch, PC, Playstation 4, Xbox One",4,15.0,24.0,32.0,25.0,1,0,$49.99,$3.33,$2.08,$1.56,2009-10-02,2,10,2009,S.T.A.L.K.E.R.,0.6,8.1,7.7,9,2,1,1,1,1,1,1,0,1,0,0,0,0,7.8,7.49,0,7.8,7.49,0
Call of Duty: Modern Warfare 2,infinity ward,"shooter,simulator,action,stealth,warfare","single player,multiplayer,co-operative,splitscreen",No,Yes,No,First Person,"Mac, PC, Playstation 3, Xbox 360",4,6.5,10.5,31.0,8.75,1,0,$59.99,$9.23,$5.71,$1.94,2009-11-10,10,11,2009,Call of Duty,0.7428571429,9.45,8.48,5,4,1,0,1,0,0,1,1,1,0,0,0,0,8.97,8.218,0,9.183333333333332,8.56,0
Silient Hill: Shattered Memories,climax studios,"adventure,horror,survival",single player,Limited,Yes,No,Third Person,"Playstation 2/Portable, Wii",3,7.0,7.5,11.0,,0,1,$39.99,$5.71,$5.33,$3.64,2009-12-08,8,12,2009,Silent Hill,,8.25,7.33,3,1,0,1,0,0,1,0,0,0,1,0,0,0,8.066666666666668,8.06,0,7.699408284023669,7.367455621301775,0
Mass Effect 2,"bioware,bioware edmonton","shooter,rpg,action,science fictiion,adventure",single player,Yes,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,24.5,35.5,50.0,,0,1,$59.99,$2.45,$1.69,$1.20,2010-01-26,26,1,2010,Mass Effect,,9.55,8.63,5,1,1,1,1,1,0,0,0,0,1,0,0,0,9.25,8.8,0,9.25,8.8,0
Alien vs Predator,rebellion developments,"shooter,action,science fiction,horror,survival","single player,multiplayer,co-operative",Limited,No,No,First Person,"PC, Playstation 3, Xbox 360",3,8.0,12.0,24.0,,0,1,$59.99,$7.50,$5.00,$2.50,2010-02-16,16,2,2010,Aliens versus Predator,,7.45,7.43,5,3,1,0,1,0,1,1,1,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Heavy Rain,quantic dream,"adventure,action,thriller,drama,mystery",single player,No,No,No,"First Person, Third Person","PC, Playstation 3/4",3,10.0,12.0,22.0,,0,1,$59.99,$6.00,$5.00,$2.73,2010-02-18,18,2,2010,,,8.85,8.55,5,1,1,1,0,0,0,0,0,1,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Red Dead Redemption,"rockstar north,rockstar san diego","shooter,rpg,adventure,action","single player,multiplayer",Yes,No,Yes,Third Person,"Playstation 3, Xbox 360",2,17.5,26.0,46.0,41.0,1,1,$59.99,$3.43,$2.31,$1.30,2010-05-18,18,5,2010,Red Dead Redemption,0.4268292683,9.6,9.05,4,2,1,1,1,1,0,1,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,9.75,8.755,0
Crackdown 2,ruffian games,"shooter,adventure,action,sandbox,science fiction","single player,multiplayer,co-operative",No,Yes,Yes,Thrid Person,Xbox 360,1,7.5,14.5,29.0,16.0,1,0,$59.99,$8.00,$4.14,$2.07,2010-07-06,6,7,2010,Crackdown,0.46875,7.25,6.53,5,3,1,1,1,0,0,1,1,0,0,0,0,0,8.15,7.4,0,7.699408284023669,7.367455621301775,0
Mafia II,"2k czech,massive bear studios","shooter,racing,adventure,action,stealth,sandbox,historical,fantasy",single player,Yes,Yes,Yes,Third Person,"PC, Playstation 3, Xbox 360",3,12.0,16.5,31.5,10.0,1,0,$59.99,$5.00,$3.64,$1.90,2010-08-24,24,8,2010,Mafia,1.2,7.2,8.48,8,1,1,1,1,0,0,0,0,0,1,0,0,0,7.9,8.58,0,7.699408284023669,7.367455621301775,0
Metroid: Other M,"d-rockets,team ninja","shooter,platform,action,adventure,science fiction",single player,No,Yes,No,"First Person, Third Person","Wii, Wii U",2,9.5,11.0,13.0,,0,1,$49.99,$5.26,$4.54,$3.85,2010-08-31,31,8,2010,Metroid,,8.2,6.28,5,1,1,1,1,0,0,0,0,1,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Fallout: New Vegas,obsidian entertainment,"shooter,rpg,acrtion,science fiction,survival,stealth,sandbox",single player,Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 3, Xbox 360",3,27.0,60.0,131.0,45.0,1,1,$59.99,$2.22,$1.00,$0.46,2010-10-19,19,10,2010,Fallout,0.6,8.45,9.05,7,1,0,0,1,1,1,0,0,1,1,0,0,0,8.459999999999999,7.831999999999999,0,7.699408284023669,7.367455621301775,0
Call of Duty: Black Ops,treyarch,"shooter,action,historical,warfare,horror,survival,stealth","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"Mac, PC, Playstaion 3, Xbox 360",4,7.0,13.0,18.0,,0,1,$59.99,$8.57,$4.61,$3.33,2010-11-09,9,11,2010,Call of Duty,,8.6,8.13,7,4,1,0,1,0,1,1,1,1,0,0,0,0,9.049999999999999,8.261666666666667,0,8.65,7.705,0
The Witcher 2: Assassins of Kings,cd projekt red,"rpg,adventure,action,fantasy",single player,Limited,Yes,No,Third Person,"PC, Xbox 360",2,24.0,34.5,56.5,,0,1,$29.99,$1.25,$0.87,$0.53,2011-05-17,17,5,2011,The Witcher,,8.9,8.6,4,1,1,1,0,1,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
