Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating,genre_count,modes_count,has_Action,has_Adventure,has_Shooter,has_Rpg,has_Survival,has_multiplayer,has_coop,is_first_person,is_third_person,is_isometric,is_vr,is_side_view,franchise_avg_critic,franchise_avg_user,is_first_franchise_game,studio_avg_critic,studio_avg_user,has_new_studio
Call of Duty: Advanced Warfare,sledgehammer games,"shooter,action,science fiction,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"PC, Playstation 3/4, Xbox 360/One",5,7.0,10.5,18.0,,0,1,$59.99,$8.57,$5.71,$3.33,2014-11-03,3,11,2014,Call of Duty,,8.6,6.55,4,4,1,0,1,0,0,1,1,1,0,0,0,0,8.89,7.848000000000001,0,8.9,7.23,0
Assassins Creed Rogue,ubisoft sofia,"action,rpg,stealth,parkour","single player,multiplayer",Limited,Yes,Yes,Third Person,"PC, Playstation 3, Xbox 360",3,10.5,22.5,40.0,70.0,1,0,$29.99,$2.86,$1.33,$0.75,2014-11-11,11,11,2014,Assassins Creed,0.15,7.0,7.28,4,2,1,0,0,1,0,1,0,0,1,0,0,0,8.65,8.58,0,7.699408284023669,7.367455621301775,0
Sonic Boom: Rise of Lyric,big red button,"platform,adventure,action","single player,multiplayer",No,Yes,No,Third Person,Wii U,1,7.5,14.5,19.5,,0,1,$39.99,$5.33,$2.76,$2.05,2014-11-11,11,11,2014,Sonic Boom,,3.75,3.5,3,2,1,1,0,0,0,1,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Assassin's Creed Unity,ubisoft montreal,"action,rpg,stealth,parkour,historical","single player,multiplayer,co-operative",No,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,17.0,35.0,80.0,2.4,1,0,$59.99,$3.53,$1.71,$0.75,2014-11-11,11,11,2014,Assassins Creed,7.083333333,7.5,6.78,5,3,1,0,0,1,0,1,1,0,1,0,0,0,7.825,7.93,0,8.583333333333334,8.193333333333333,0
Sonic Boom: Shattered Crystal,sanzaru games,"platform,action","single player,multiplayer",No,Yes,No,Third Person,Nintendo 3DS,1,10.0,11.5,16.0,,0,0,$39.99,$4.00,$3.48,$2.50,2014-11-11,11,11,2014,Sonic Boom,,4.35,5.38,2,2,1,0,0,0,0,1,0,0,1,0,0,0,3.75,3.5,0,7.699408284023669,7.367455621301775,0
Far Cry 4,ubisoft montreal,"action,adventure,shooter,fps","single player,multiplayer",Limited,Yes,Yes,First Person,"PC, Playstation 3/4, Xbox 360/One",5,18.0,31.0,47.0,41.0,1,0,$29.99,$1.67,$0.97,$0.64,2014-11-18,18,11,2014,Far Cry,0.4390243902,8.5,8.08,4,2,1,1,1,0,0,1,0,1,0,0,0,0,8.6625,7.8525,0,8.3125,7.84,0
Dying Light,techland,"shooter,rpg,adventure,action,horror,survival,stealth","single player,multiplayer,co-operative",Yes,No,Yes,First Person,"Linux, Mac, PC, Playstation 4, Xbox One",5,18.0,36.0,64.0,4.9,1,1,$59.99,$3.33,$1.67,$0.94,2015-01-26,26,1,2015,Dying Light,3.673469388,7.95,8.3,7,3,1,1,1,1,1,1,1,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.0,7.15,0
The Witcher 3: Wild Hunt,cd projekt red,"rpg,adventure,action,fantasy",single player,Yes,No,Yes,Third Person,"Nintendo Switch, PC, Playstation 4/5, Xbox One/Series XIS",6,51.5,103.0,175.0,142.0,1,1,$59.99,$1.16,$0.58,$0.34,2015-05-19,19,5,2015,The Witcher,0.3626760563,9.25,9.53,4,1,1,1,0,1,0,0,0,0,1,0,0,0,8.9,8.6,0,8.9,8.6,0
Assassin's Creed Syndicate,ubisoft québec,"action,rpg,stealth,parkour,historical",single player,No,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,19.0,33.5,55.5,3.7,1,0,$59.99,$3.16,$1.79,$1.08,2015-10-23,23,10,2015,Assassins Creed,5.135135135,7.9,7.23,5,1,1,0,0,1,0,0,0,0,1,0,0,0,7.716666666666666,7.546666666666667,0,7.699408284023669,7.367455621301775,0
Call of Duty: Black Ops III,treyarch,"shooter,adventure,action,science fiction,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"Mac, PC, Playstation 4, Xbox One",4,9.0,15.0,84.0,,0,0,$59.99,$6.67,$4.00,$0.71,2015-11-06,6,11,2015,Call of Duty,,8.65,7.05,5,4,1,1,1,0,0,1,1,1,0,0,0,0,8.863636363636363,7.73,0,8.6,7.418000000000001,0
Fallout 4,bethesda game studios,"shooter,rpg,acrtion,science fiction,survival,stealth,sandbox",single player,Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One/Series XIS",5,27.5,83.0,160.0,43.0,1,0,$59.99,$2.18,$0.72,$0.37,2015-11-09,9,11,2015,Fallout,0.6395348837,9.1,8.13,7,1,0,0,1,1,1,0,0,1,1,0,0,0,8.458333333333334,8.035,0,9.02,8.668000000000001,0
Dying Light: The Following,techland,"shooter,rpg,adventure,action,horror,survival","single player,multiplayer,co-operative",Yes,Yes,Yes,First Person,"PC, Playstation 4, Xbox One",3,9.0,13.5,20.0,8.5,1,0,$19.99,$2.22,$1.48,$1.00,2016-02-06,6,2,2016,Dying Light,1.058823529,8.35,7.75,6,3,1,1,1,1,1,1,1,1,0,0,0,0,7.95,8.3,0,7.316666666666666,7.533333333333334,0
Far Cry Primal,ubisoft montreal,"action,adventure,fps",single player,Limited,Yes,Yes,First Person,"PC, Playstation 4, Xbox One",3,15.0,23.5,36.5,31.0,1,1,$29.99,$2.00,$1.28,$0.82,2016-02-23,23,2,2016,Far Cry,0.4838709677,7.75,7.55,3,1,1,1,0,0,0,0,0,1,0,0,0,0,8.629999999999999,7.898000000000001,0,8.35,7.888,0
Dark Souls III,fromsoftware,"rpg,adventure,action,fantasy","single player,multiplayer,co-operative",Yes,Yes,No,Third Person,"PC, Playstation 4, Xbox One",3,31.5,48.0,101.0,,0,0,$59.99,$1.90,$1.25,$0.59,2016-03-24,24,3,2016,Dark Souls,,9.2,8.9,4,3,1,1,0,1,0,1,1,0,1,0,0,0,9.0,8.49,0,9.0,8.49,0
Uncharted 4: A Thief's End,naughty dog,"shooter,adventure,action,fantasy,historical,stealth","single player,multiplayer",No,Yes,No,Third Person,Playstation 4,1,15.0,18.0,31.5,,0,0,$59.99,$4.00,$3.33,$1.90,2016-05-10,10,5,2016,Uncharted,,9.15,9.05,6,2,1,1,1,0,0,1,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,9.75,9.3,0
Homefront: The Revolution,deep silver dambuster studios,"shooter,adventure,action,warfare","single player,multiplayer,co-operative",No,Yes,Yes,First Person,"PC, Playstation 4, Xbox One",3,12.0,19.0,32.0,9.0,1,0,$59.99,$5.00,$3.16,$1.87,2016-05-17,17,5,2016,Homefront,1.333333333,5.2,5.48,4,3,1,1,1,0,0,1,1,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Sonic Boom: Fire & Ice,sanzaru games,"platform,adventure,action","single player,multiplayer",No,Yes,No,Side view,Nintendo 3DS,1,4.5,8.0,16.0,,0,0,$39.99,$8.89,$5.00,$2.50,2016-09-27,27,9,2016,Sonic Boom,,6.85,5.75,3,2,1,1,0,0,0,1,0,0,0,0,0,1,4.05,4.4399999999999995,0,4.35,5.38,0
Mafia III,hangar 13,"shooter,racing,adventure,action,drama",single player,Yes,Yes,Yes,Third Person,"Mac, PC, Playsyation 4, Xbox One",4,22.5,35.0,51.0,20.0,1,0,$59.99,$2.67,$1.71,$1.18,2016-10-07,7,10,2016,Mafia,1.125,7.15,6.28,5,1,1,1,1,0,0,0,0,0,1,0,0,0,7.550000000000001,8.530000000000001,0,7.699408284023669,7.367455621301775,0
Call of Duty: Infinite Warfare,infinity ward,"shooter,adventure,action,science fiction,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,Fisrt Person,"PC, Playstation 4, Xbox One",3,7.5,9.5,16.5,,0,0,$59.99,$8.00,$6.31,$3.64,2016-11-04,4,11,2016,Call of Duty,,7.7,5.98,5,4,1,1,1,0,0,1,1,0,0,0,0,0,8.845833333333333,7.673333333333333,0,9.033333333333333,7.881666666666667,0
Watch Dogs 2,ubisoft montreal,"shooter,adventure,action,science fiction,stealth,sandbox","single player,multiplayer,co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,19.5,31.5,46.5,56.94,1,1,$49.99,$2.56,$1.59,$1.08,2016-11-15,15,11,2016,Watch Dogs,0.3424657534,8.35,7.93,6,3,1,1,1,0,0,1,1,0,1,0,0,0,8.2,7.35,0,8.25,7.831666666666667,0
Resident Evil 7: Biohazard,capcom,"shooter,adventure,action,horror,survival,puzzle",single player,Limited,Yes,No,"First Person, Virtual Reality","Nintendo Switch 2, PC, Playstation 4/5, Xbox One",5,9.5,12.0,27.5,,0,1,$59.99,$6.31,$5.00,$2.18,2017-01-24,24,1,2017,Resident Evil,,8.15,8.55,6,1,1,1,1,0,1,0,0,1,0,0,1,0,7.928571428571429,8.224285714285715,0,7.933333333333334,7.3933333333333335,0
